date,rank,sell,total_seat,show_num,theater_num,title,box_office
'6/10(åœŸ),5,"19,204","79,379",257,43,KING OF PRISM PRIDE the HERO,"3,073"
6/11,11,"11,016","79,496",263,44,KING OF PRISM PRIDE the HERO,"1,763"
6/12,11,"4,455","72,097",259,44,KING OF PRISM PRIDE the HERO,713
6/13,8,"3,945","76,257",263,44,KING OF PRISM PRIDE the HERO,631
6/14,9,"4,855","75,625",263,44,KING OF PRISM PRIDE the HERO,777
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
